quote_date,description,item_id,price,item_name
1994-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.8964975,Milk
1994-02-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6787438,Sugar
1994-03-01,BUTTER-HOME PRODUCED-250G,211301,0.6994737,Butter
1994-03-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1628379,Eggs
1994-03-01,FLOUR-SELF-RAISING-1.5KG,210201,0.61155,Flour
1994-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9136649,Milk
1994-03-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6828358,Sugar
1994-04-01,BUTTER-HOME PRODUCED-250G,211301,0.70256543,Butter
1994-04-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1775167,Eggs
1994-04-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6098985,Flour
1994-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.90854925,Milk
1994-04-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6828358,Sugar
1994-05-01,BUTTER-HOME PRODUCED-250G,211301,0.69344497,Butter
1994-05-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1508824,Eggs
1994-05-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6254412,Flour
1994-05-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9021905,Milk
1994-05-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.67826486,Sugar
1994-06-01,BUTTER-HOME PRODUCED-250G,211301,0.6955555,Butter
1994-06-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1594578,Eggs
1994-06-01,FLOUR-SELF-RAISING-1.5KG,210201,0.610198,Flour
1994-06-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.8944812,Milk
1994-06-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.679447,Sugar
1994-07-01,BUTTER-HOME PRODUCED-250G,211301,0.69330233,Butter
1994-07-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1823392,Eggs
1994-07-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6112255,Flour
1994-07-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.8859813,Milk
1994-07-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.67799085,Sugar
1994-08-01,BUTTER-HOME PRODUCED-250G,211301,0.69654256,Butter
1994-08-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1881945,Eggs
1994-08-01,FLOUR-SELF-RAISING-1.5KG,210201,0.60781723,Flour
1994-08-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.88276047,Milk
1994-08-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6794975,Sugar
1994-09-01,BUTTER-HOME PRODUCED-250G,211301,0.6938235,Butter
1994-09-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1667631,Eggs
1994-09-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6078818,Flour
1994-09-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.88248825,Milk
1994-09-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.66683483,Sugar
1994-10-01,BUTTER-HOME PRODUCED-250G,211301,0.6932512,Butter
1994-10-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.200479,Eggs
1994-10-01,FLOUR-SELF-RAISING-1.5KG,210201,0.5963366,Flour
1994-10-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.86633664,Milk
1994-10-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.62758136,Sugar
1994-11-01,BUTTER-HOME PRODUCED-250G,211301,0.7018932,Butter
1994-11-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1793605,Eggs
1994-11-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6032195,Flour
1994-11-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.90897197,Milk
1994-11-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.62032866,Sugar
1994-12-01,BUTTER-HOME PRODUCED-250G,211301,0.70112747,Butter
1994-12-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.2022619,Eggs
1994-12-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6001478,Flour
1994-12-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9135715,Milk
1994-12-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6199083,Sugar
1995-01-01,BUTTER-HOME PRODUCED-250G,211301,0.70669997,Butter
1995-01-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.2152326,Eggs
1995-01-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6042157,Flour
1995-01-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.91278297,Milk
1995-01-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6299082,Sugar
1995-02-01,BUTTER-HOME PRODUCED-250G,211301,0.7130688,Butter
1995-02-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1609203,Eggs
1995-02-01,FLOUR-SELF-RAISING-1.5KG,210201,0.61165804,Flour
1995-02-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.92183965,Milk
1995-02-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.6491428,Sugar
1995-03-01,BUTTER-HOME PRODUCED-250G,211301,0.7259068,Butter
1995-03-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1633939,Eggs
1995-03-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6095312,Flour
1995-03-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.92225355,Milk
1995-03-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.65471965,Sugar
1995-04-01,BUTTER-HOME PRODUCED-250G,211301,0.7451295,Butter
1995-04-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1655062,Eggs
1995-04-01,FLOUR-SELF-RAISING-1.5KG,210201,0.6101015,Flour
1995-04-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.92150235,Milk
1995-04-01,SUGAR -GRANULATED-WHITE-PER KG,212101,0.68087965,Sugar
1995-05-01,BUTTER-HOME PRODUCED-250G,211301,0.7815263,Butter
1995-05-01,EGGS-MEDIUM-PER DOZ OR 2 X 6,211602,1.1858282,Eggs
1995-05-01,FLOUR-SELF-RAISING-1.5KG,210201,0.61459184,Flour
1995-05-01,SHOP MILK-WHOLE MILK-4PT/2LTR,211709,0.9224883,Milk
