Date,Region,Mean
1993-09-01,Yorkshire & Humber,0.89666665
1993-10-01,East Anglia,0.90916663
1993-10-01,East Midlands,0.8875
1993-10-01,London,0.9305263
1993-10-01,North,0.935
1993-10-01,North West,0.8905263
1993-10-01,Northern Ireland,0.90333337
1993-10-01,Scotland,0.9575
1993-10-01,South East,0.94500005
1993-10-01,South West,0.945
1993-10-01,Wales,0.87083334
1993-10-01,West Midlands,0.9464706
1993-10-01,Yorkshire & Humber,0.85923076
1993-11-01,East Anglia,0.94166666
1993-11-01,East Midlands,0.9266666
1993-11-01,London,0.9942857
1993-11-01,North,1.0066667
1993-11-01,North West,0.93454546
